impact_parameter,captured,status,r_min,delta_phi,steps
3.1680936856009816,1,captured,1.9824910476101754,1.9015023497561163,9701
5.1868413865552565,0,escaped,4.146560775861466,4.662838868209671,17003
13.528474819290853,0,escaped,13.909004041066478,2.1143516072679827,5693
3.030402188481782,0,numerical_error,2.0000949876950864,9.851721093720597e+113,9524
13.969069285682929,0,escaped,14.40332080443112,2.046198144155455,5465
5.458927127682874,0,escaped,4.53479017451855,4.287652037457221,15376
12.129367029316237,0,escaped,12.336325093886158,2.3305324196380703,6467
5.199238965762081,0,escaped,4.165066154223872,4.641383505116829,16911
6.963141533833922,0,escaped,6.419451829100474,3.399656089299628,11258
14.136407177933936,0,escaped,14.590965883521395,2.0203473474735123,5381
5.090345254103327,0,escaped,3.998705575121311,4.851448817412641,17800
5.126110060340015,0,escaped,4.054364188554095,4.776468959989797,17484
5.1207290335505915,0,escaped,4.0460598368384595,4.787338908254777,17530
5.15446684505129,0,escaped,4.097748511883349,4.721494540846788,17252
3.374980058310451,1,captured,1.9999446889981665,2.09568610720283,10017
4.738769076506203,0,escaped,3.320090694137231,6.6501275987658985,25024
5.1744753665279974,0,escaped,4.1280016725367386,4.684747026477122,17096
9.319779292966441,0,escaped,9.15452013232017,2.8075757174650113,8453
6.388877843851736,0,escaped,5.726477296572521,3.633582230327197,12378
5.205534663282603,0,escaped,4.174425997970495,4.6307481490972675,16866
2.657966925444504,1,captured,1.9998210057132264,1.4953999036987806,9130
5.13449824672986,0,escaped,4.067262685272481,4.759834804101761,17414
5.126826893399933,0,escaped,4.055468666434981,4.77503636604032,17478
9.890626533564589,0,escaped,9.80490562536826,2.7010475349761136,7979
5.1022766994138005,0,escaped,4.017398037901627,4.825709073342546,17692
5.280486815351574,0,escaped,4.284093169351259,4.513366382555258,16362
5.047268536534615,0,escaped,3.930070077922665,4.95147531171496,18218
5.148267833509085,0,escaped,4.088316836840828,4.733178134554169,17301
8.132396613225954,0,escaped,7.790198208330734,3.062420889277179,9638
13.121145815209003,0,escaped,13.451648475997663,2.177016191067947,5909
5.18219680174851,0,escaped,4.13960215331769,4.670961565960916,17037
5.259416879951879,0,escaped,4.253574163026082,4.544697255372778,16497
8.383074217261068,0,escaped,8.07990099343306,3.0035404725286643,9359
5.133463956286878,0,escaped,4.065675290684338,4.761893106731424,17423
5.226940280940863,0,escaped,4.206068739886368,4.595472092446136,16715
5.24979357676831,0,escaped,4.239558071407538,4.559399824735372,16560
3.433660646619934,1,captured,-3685530937.6031537,48.45405304976646,10121
10.64815808816982,0,escaped,10.66430535440608,2.5693785698991674,7416
5.068796902264731,0,escaped,3.9646071706609716,4.899999797316861,18003
6.219696067428911,0,escaped,5.51803601498976,3.7182737830766532,12778
5.194678670896453,0,escaped,4.158270688088283,4.64923524576199,16945
5.2287044590499585,0,escaped,4.208664516063845,4.5926415618808045,16703
5.258342118608005,0,escaped,4.252011256903094,4.5463271418085025,16504
3.021037309118419,1,captured,1.9998160606121163,1.7752108184688824,9510
5.139469372379706,0,escaped,4.074880536327028,4.75012360004455,17373
5.098689519434466,0,escaped,4.0117917065935815,4.833357360089375,17724
5.180352529800129,0,escaped,4.136835033833298,4.6742329916826995,17051
5.1627381734806175,0,escaped,4.110289375537763,4.706121904316416,17187
5.154080235798504,0,escaped,4.09716113694524,4.722216292894296,17255
5.163913362861034,0,escaped,4.112067184815043,4.703911564328501,17177
5.017414255811984,0,escaped,3.881312587004721,5.028340308242726,18537
9.788374184082059,0,escaped,9.688603843177152,2.719656952803168,8061
10.181741818617793,0,escaped,10.135604543937102,2.649375826777396,7755
13.250038406719074,0,escaped,13.596411287004186,2.157198819595596,5840
5.17288432235258,0,escaped,4.125606285012839,4.687600578425534,17108
5.08919530518655,0,escaped,3.9968971142283696,4.853939025113629,17810
5.25563526951018,0,escaped,4.248072248151621,4.550406435546521,16521
5.199288574608626,0,escaped,4.165139996133116,4.641319761211587,16911
4.248662016943796,1,captured,1.985614403146065,3.418664077291376,12833
4.311453347465358,1,captured,1.9931772181464564,3.5942165513985453,13283
5.213762785379826,0,escaped,4.186621794302612,4.616995060395535,16807
5.240384644737393,0,escaped,4.225805598826747,4.574056699099628,16623
5.11601228831788,0,escaped,4.038760955438452,4.796995994990747,17571
10.264219092390968,0,escaped,10.229192168976486,2.6349570928750086,7693
5.24140530138278,0,escaped,4.227299801930263,4.572447325151479,16616
11.529402012416435,0,escaped,11.660150255350647,2.4251531636145995,6831
5.1861625359701655,0,escaped,4.145544599908061,4.664023972515544,17008
5.18601099021921,0,escaped,4.145317707889459,4.6642820220609265,17009
5.1515079569961175,0,escaped,4.093250177266594,4.727033200361131,17275
5.200256650407473,0,escaped,4.1665808279817735,4.639672945959236,16904
5.047231481580705,0,escaped,3.9300101955914255,4.951545290014653,18218
5.0941168895601585,0,escaped,4.004628429154894,4.843197554167565,17765
5.310234528805064,0,escaped,4.326808561977379,4.471076893246998,16179
9.744705314718695,0,escaped,9.638910251049918,2.7276202041576947,8096
5.217875234108797,0,escaped,4.192701896176781,4.610214764919587,16778
5.197811503143259,0,escaped,4.162940459824624,4.6438557832692915,16922
6.876723239333481,0,escaped,6.3163137356162675,3.4307798315001823,11408
5.850961745718578,0,escaped,5.053418814272236,3.9433980975949936,13825
5.296449754084387,0,escaped,4.307067177842493,4.490358483573513,16262
5.359062520984754,0,escaped,4.396055515956419,4.406092534879982,15896
14.722967660487836,0,escaped,15.248329915114812,1.928332802999044,5089
5.280135493857121,0,escaped,4.283586143546611,4.513866608941478,16364
5.180077372871769,0,escaped,4.136421993849426,4.674716817474928,17053
5.200313533775813,0,escaped,4.166665481828861,4.639542252579486,16903
5.2364692673835815,0,escaped,4.220068267622564,4.58020326451427,16649
5.105690617136409,0,escaped,4.022722980781083,4.8184488935375835,17661
5.177990297884976,0,escaped,4.133287431068215,4.67844165310178,17069
5.326904140878305,0,escaped,4.350565214184206,4.448298779899789,16080
5.714126122311163,0,escaped,4.876106860812895,4.047145876802373,14299
12.188895572706665,0,escaped,12.403348597675864,2.321230380450754,6432
5.251855700130051,0,escaped,4.2425656778397824,4.556202943310218,16546
5.248747961025076,0,escaped,4.238032142004861,4.561018685261291,16567
5.182705469571317,0,escaped,4.14036494715319,4.670053030657318,17033
3.2858383448366384,1,captured,1.999718441304493,2.0092744493606234,9873
5.133120190050119,0,escaped,4.065147490481713,4.762578563888337,17426
11.775006736794445,0,escaped,11.937107381837356,2.38614804473007,6679
4.289430552062314,1,captured,1.9537561811009887,3.5298164531388307,13116
5.207560746158713,0,escaped,4.177432934732703,4.627317930967171,16851
5.2656647458253065,0,escaped,4.2626477891064845,4.535253371807829,16456
10.199824922671965,0,escaped,10.156127352083427,2.646166708171422,7741
